Input,Output
"Wand, fire element, mythic",The Cutter of Flame
"Mace, void element, mythic",Abyss of the Reaver
"Shield, poison element, epic",AcidTalon
"Spear, blood element, epic",Epic Reaver of Sanguine
"Staff, wind element, legendary",The Hammer of Breeze
"Mace, arcane element, common",Arcana of the Talon
"Bow, ice element, epic",ChillTalon
"Staff, lightning element, common",Volt of the Talon
"Dagger, lightning element, common",The Spire of Shock
"Sword, storm element, epic",Tempest of the Kris
"Axe, holy element, rare",Rare Wand of Blessed
"Bow, void element, common",The Whisper of Void
"Shield, void element, epic",The Blade of Abyss
"Axe, arcane element, epic",Epic Reaver of Rune
"Whip, fire element, ancient",The Aegis of Ember
"Crossbow, lightning element, ancient",Thunder of the Lance
"Staff, lightning element, mythic",The Fury of Shock
"Scythe, water element, common",Deep-Maul
"Bow, water element, mythic",Wave-Edge
"Whip, wind element, mythic",The Scythe of Storm
"Whip, poison element, mythic",FangBreaker
"Crossbow, void element, ancient",AbyssWhisper
"Wand, lightning element, uncommon",The Talon of Shock
"Orb, lightning element, common",The Wand of Bolt
"Wand, holy element, common",Grace-Glaive
"Whip, fire element, mythic",The Kris of Ember
"Whip, shadow element, rare",Shade-Hammer
"Spear, toxic element, mythic",Blight of the Shard
"Dagger, void element, uncommon",The Glaive of Void
"Spear, holy element, ancient",The Reaver of Blessed
"Sword, storm element, uncommon",Rain of the Cutter
"Scythe, lightning element, rare",SparkReaver
"Axe, lightning element, legendary",Legendary Lance of Spark
"Staff, void element, legendary",The Wand of Void
"Wand, blood element, rare",Rare Shard of Hemorrhage
"Hammer, void element, rare",Dark of the Scythe
"Staff, shadow element, uncommon",The Fang of Umbral
"Orb, water element, rare",Tide of the Slicer
"Whip, holy element, uncommon",Blessed-Aegis
"Wand, earth element, rare",The Fang of Stone
"Shield, wind element, mythic",Zephyr of the Edge
"Crossbow, fire element, uncommon",Pyro-Kris
"Staff, arcane element, legendary",MysticWarden
"Axe, poison element, epic",AcidBlade
"Spear, earth element, common",Quake of the Cutter
"Whip, ice element, epic",Epic Blade of Snow
"Wand, poison element, rare",VenomWarden
"Whip, wind element, ancient",Ancient Whisper of Whirl
"Spear, arcane element, mythic",Arcana-Scythe
"Scythe, storm element, rare",Rare Slicer of Cloud
"Gauntlet, blood element, uncommon",Sanguine-Edge
"Orb, arcane element, legendary",Rune-Scythe
"Gauntlet, wind element, epic",The Cutter of Gale
"Dagger, holy element, uncommon",DivineTalon
"Spear, toxic element, epic",Corrupt-Whisper
"Orb, blood element, epic",Epic Scythe of Sanguine
"Bow, lightning element, ancient",The Whisper of Volt
"Axe, storm element, mythic",The Cutter of Squall
"Spear, poison element, rare",The Edge of Fang
"Bow, blood element, ancient",PulseWhisper
"Staff, blood element, mythic",PulseWarden
"Spear, water element, legendary",Legendary Scythe of Wave
"Bow, holy element, epic",Grace-Kris
"Mace, lightning element, common",Volt of the Breaker
"Mace, storm element, mythic",Storm-Hammer
"Whip, holy element, ancient",Ancient Hammer of Blessed
"Spear, holy element, rare",The Slicer of Faith
"Spear, poison element, ancient",Acid of the Talon
"Gauntlet, wind element, uncommon",Breeze-Fang
"Wand, poison element, uncommon",Uncommon Fang of Venom
"Scythe, arcane element, rare",Spell-Breaker
"Whip, lightning element, mythic",The Cutter of Volt
"Scythe, wind element, uncommon",Zephyr-Staff
"Axe, water element, mythic",WaveLance
"Whip, shadow element, legendary",GloomKris
"Mace, holy element, common",The Lance of Divine
"Staff, toxic element, rare",Rare Hammer of Decay
"Axe, storm element, legendary",Storm-Shard
"Whip, holy element, legendary",Grace-Slicer
"Scythe, arcane element, legendary",Legendary Staff of Rune
"Dagger, wind element, uncommon",Storm of the Whisper
"Scythe, void element, common",The Scythe of Dark
"Bow, void element, epic",Epic Aegis of Abyss
